level,code,name,parent_code,full_code
3,,,46870,46870
3,,,46880,46880
3,,,46890,46890
3,,,46900,46900
3,,,46910,46910
3,,,47110,47110
3,,,47111,47111
3,,,47113,47113
3,,,47130,47130
3,,,47150,47150
3,,,47170,47170
3,,,47190,47190
3,,,47210,47210
3,,,47230,47230
3,,,47250,47250
3,,,47280,47280
3,,,47290,47290
3,,,47730,47730
3,,,47750,47750
3,,,47760,47760
3,,,47770,47770
3,,,47820,47820
3,,,47830,47830
3,,,47840,47840
3,,,47850,47850
3,,,47900,47900
3,,,47920,47920
3,,,47930,47930
3,,,47940,47940
3,,,48120,48120
3,,,48121,48121
3,,,48123,48123
3,,,48125,48125
3,,,48127,48127
3,,,48129,48129
3,,,48170,48170
3,,,48220,48220
3,,,48240,48240
3,,,48250,48250
3,,,48270,48270
3,,,48310,48310
3,,,48330,48330
3,,,48720,48720
3,,,48730,48730
3,,,48740,48740
3,,,48820,48820
3,,,48840,48840
3,,,48850,48850
3,,,48860,48860
3,,,48870,48870
3,,,48880,48880
3,,,48890,48890
3,,,50110,50110
3,,,50130,50130
3,,,51110,51110
3,,,51130,51130
3,,,51150,51150
3,,,51170,51170
3,,,51190,51190
3,,,51210,51210
3,,,51230,51230
3,,,51720,51720
3,,,51730,51730
3,,,51750,51750
3,,,51760,51760
3,,,51770,51770
3,,,51780,51780
3,,,51790,51790
3,,,51800,51800
3,,,51810,51810
3,,,51820,51820
3,,,51830,51830
3,,,52110,52110
3,,,52111,52111
3,,,52113,52113
3,,,52130,52130
3,,,52140,52140
3,,,52180,52180
3,,,52190,52190
3,,,52210,52210
3,,,52710,52710
3,,,52720,52720
3,,,52730,52730
3,,,52740,52740
3,,,52750,52750
3,,,52770,52770
3,,,52790,52790
3,,,52800,52800
